"code"	"institution_key"	"institution_name"	"class"	"type"	"city"	"state"	"uva_peer"
"WMU"	"WESTERN MICHIGAN UNIVERSITY"	"Western Michigan University"	"R2"	"Public"	"Kalamazoo"	"MI"	NULL
"Wichita St"	"WICHITA STATE UNIVERSITY"	"Wichita State University"	"R2"	"Public"	"Wichita"	"KS"	NULL
"Widener"	"WIDENER UNIVERSITY MAIN"	"Widener University-Main Campus"	"R3"	"Private (Non-profit)"	"Chester"	"PA"	NULL
"Willmington"	"WILMINGTON UNIVERSITY"	"Wilmington University"	"R3"	"Private (Non-profit)"	"New Castle"	"DE"	NULL
"Wittenberg"	"WITTENBERG UNIVERSITY"	"Wittenberg University"	"NA"	"Private (Non-profit)"	"Springfield"	"OH"	NULL
"Worcester Poly"	"WORCESTER POLYTECHNIC INSTITUTE"	"Worcester Polytechnic Institute"	"R2"	"Private (Non-profit)"	"Worcester"	"MA"	NULL
"Wright St"	"WRIGHT STATE UNIVERSITY MAIN"	"Wright State University-Main Campus"	"R3"	"Public"	"Dayton"	"OH"	NULL
"Xavier"	"XAVIER UNIVERSITY"	"Xavier University"	"NA"	"Private (Non-profit)"	"Cincinnati"	"OH"	NULL
"Yale"	"YALE UNIVERSITY"	"Yale University"	"R1"	"Private (Non-profit)"	"New Haven"	"CT"	NULL
"Yeshiva"	"YESHIVA UNIVERSITY"	"Yeshiva University"	"R2"	"Private (Non-profit)"	"New York"	"NY"	NULL
