"code"	"institution_key"	"institution_name"	"class"	"type"	"city"	"state"	"uva_peer"
"IAUPR"	"INTER AMERICAN UNIVERSITY OF PUERTO RICO METRO"	"Inter American University of Puerto Rico-Metro"	"R3"	"Private (Non-profit)"	"San Juan"	"PR"	NULL
"IA St"	"IOWA STATE UNIVERSITY"	"Iowa State University"	"R1"	"Public"	"Ames"	"IA"	NULL
"Jville St"	"JACKSON STATE UNIVERSITY"	"Jackson State University"	"R2"	"Public"	"Jackson"	"MS"	NULL
"Jville"	"JACKSONVILLE UNIVERSITY"	"Jacksonville University"	"NA"	"NA"	"NA"	"NA"	NULL
"JHU"	"JOHNS HOPKINS UNIVERSITY"	"Johns Hopkins University"	"R1"	"Private (Non-profit)"	"Baltimore"	"MD"	NULL
"KState"	"KANSAS STATE UNIVERSITY"	"Kansas State University"	"R1"	"Public"	"Manhattan"	"KS"	NULL
"Keller"	"KELLER GRADUATE SCHOOL OF MANAGEMENT"	"Keller Graduate School Of Management"	"NA"	"NA"	"NA"	"NA"	NULL
"Kennesaw St"	"KENNESAW STATE UNIVERSITY"	"Kennesaw State University"	"R3"	"Public"	"Kennesaw"	"GA"	NULL
"Kent St"	"KENT STATE UNIVERSITY KENT"	"Kent State University at Kent"	"R2"	"Public"	"Kent"	"OH"	NULL
"La Salle"	"LA SALLE UNIVERSITY"	"La Salle University"	NULL	NULL	NULL	NULL	NULL
"Lamar"	"LAMAR UNIVERSITY"	"Lamar University"	"R3"	"Public"	"Beaumont"	"TX"	NULL
"Lehigh"	"LEHIGH UNIVERSITY"	"Lehigh University"	"R2"	"Private (Non-profit)"	"Bethlehem"	"PA"	NULL
"Lesley"	"LESLEY UNIVERSITY"	"Lesley University"	"R3"	"Private (Non-profit)"	"Cambridge"	"MA"	NULL
"Lewis"	"LEWIS UNIVERSITY"	"Lewis University"	"NA"	"NA"	"NA"	"NA"	NULL
"Liberty"	"LIBERTY UNIVERSITY"	"Liberty University"	"R3"	"Private (Non-profit)"	"Lynchburg"	"VA"	NULL
"Lindenwood"	"LINDENWOOD UNIVERSITY"	"Lindenwood University"	"R3"	"Private (Non-profit)"	"Saint Charles"	"MO"	NULL
"Lipscomb"	"LIPSCOMB UNIVERSITY"	"Lipscomb University"	"R3"	"Private (Non-profit)"	"Nashville"	"TN"	NULL
"Loras"	"LORAS COLLEGE"	"Loras College"	"NA"	"NA"	"NA"	"NA"	NULL
"LSU"	"LOUISIANA STATE UNIVERSITY"	"Louisiana State University"	"R1"	"Public"	"Baton Rouge"	"LA"	NULL
"LaTech"	"LOUISIANA TECH UNIVERSITY"	"Louisiana Tech University"	"R3"	"Public"	"Ruston"	"LA"	NULL
"Loyola"	"LOYOLA UNIVERSITY CHICAGO"	"Loyola University Chicago"	"R2"	"Private (Non-profit)"	"Chicago"	"IL"	NULL
"Loyola MD"	"LOYOLA UNIVERSITY MARYLAND"	"Loyola University Maryland"	"NA"	"NA"	"NA"	"NA"	NULL
"Manhattan"	"MANHATTAN COLLEGE"	"Manhattan College"	"NA"	"NA"	"NA"	"NA"	NULL
"Marist"	"MARIST COLLEGE"	"Marist College"	"NA"	"NA"	"NA"	"NA"	NULL
"Marquette"	"MARQUETTE UNIVERSITY"	"Marquette University"	"R2"	"Private (Non-profit)"	"Milwaukee"	"WI"	NULL
"Maryville"	"MARYVILLE UNIVERSITY"	"Maryville University"	"NA"	"NA"	"NA"	"NA"	NULL
"Maryville SL"	"MARYVILLE UNIVERSITY OF SAINT LOUIS"	"Maryville University of Saint Louis"	"R3"	"Private (Non-profit)"	"Saint Louis"	"MO"	NULL
"MIT"	"MASSACHUSETTS INSTITUTE OF TECHNOLOGY"	"Massachusetts Institute of Technology"	"R1"	"Private (Non-profit)"	"Cambridge"	"MA"	"1"
"MUSC"	"MEDICAL UNIVERSITY OF SOUTH CAROLINA"	"Medical University Of South Carolina"	"NA"	"NA"	"NA"	"NA"	NULL
"Mercer"	"MERCER UNIVERSITY"	"Mercer University"	"R3"	"Private (Non-profit)"	"Macon"	"GA"	NULL
"Mercyhurst"	"MERCYHURST UNIVERSITY"	"Mercyhurst University"	"NA"	"NA"	"NA"	"NA"	NULL
"Merrimack"	"MERRIMACK COLLEGE"	"Merrimack College"	"NA"	"NA"	"NA"	"NA"	NULL
"Miami OH"	"MIAMI UNIVERSITY OXFORD"	"Miami University-Oxford"	"R2"	"Public"	"Oxford"	"OH"	NULL
"MSU"	"MICHIGAN STATE UNIVERSITY"	"Michigan State University"	"R1"	"Public"	"East Lansing"	"MI"	NULL
"MTU"	"MICHIGAN TECHNOLOGICAL UNIVERSITY"	"Michigan Technological University"	"R2"	"Public"	"Houghton"	"MI"	NULL
"MTSU"	"MIDDLE TENNESSEE STATE UNIVERSITY"	"Middle Tennessee State University"	"R3"	"Public"	"Murfreesboro"	"TN"	NULL
"Misericordia"	"MISERICORDIA UNIVERSITY"	"Misericordia University"	"NA"	"NA"	"NA"	"NA"	NULL
"MS St"	"MISSISSIPPI STATE UNIVERSITY"	"Mississippi State University"	"R2"	"Public"	"Mississippi State"	"MS"	NULL
"MUST"	"MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY"	"Missouri University of Science and Technology"	"R2"	"Public"	"Rolla"	"MO"	NULL
"MT St"	"MONTANA STATE UNIVERSITY"	"Montana State University"	"R2"	"Public"	"Bozeman"	"MT"	NULL
"Montclair St"	"MONTCLAIR STATE UNIVERSITY"	"Montclair State University"	"R3"	"Public"	"Montclair"	"NJ"	NULL
"Morgan St"	"MORGAN STATE UNIVERSITY"	"Morgan State University"	"R3"	"Public"	"Baltimore"	"MD"	NULL
"NSS"	"NASHVILLE SOFTWARE SCHOOL"	"Nashville Software School"	"NA"	"NA"	"NA"	"NA"	NULL
"NLU"	"NATIONAL LOUIS UNIVERSITY"	"National Louis University"	"R3"	"Private (Non-profit)"	"Chicago"	"IL"	NULL
"National"	"NATIONAL UNIVERSITY"	"National University"	"NA"	"NA"	"NA"	"NA"	NULL
"Naval PG"	"NAVAL POSTGRADUATE SCHOOL"	"Naval Postgraduate School"	"R2"	"Public"	"Monterey"	"CA"	NULL
"NCF"	"NEW COLLEGE OF FLORIDA"	"New College Of Florida"	"NA"	"NA"	"NA"	"NA"	NULL
"NEC"	"NEW ENGLAND COLLEGE"	"New England College"	"NA"	"NA"	"NA"	"NA"	NULL
"NJCU"	"NEW JERSEY CITY UNIVERSITY"	"New Jersey City University"	NULL	NULL	NULL	NULL	NULL
"NJIT"	"NEW JERSEY INSTITUTE OF TECHNOLOGY"	"New Jersey Institute of Technology"	"R2"	"Public"	"Newark"	"NJ"	NULL
"NMSU"	"NEW MEXICO STATE UNIVERSITY MAIN"	"New Mexico State University-Main Campus"	"R2"	"Public"	"Las Cruces"	"NM"	NULL
"New School"	"NEW SCHOOL"	"The New School"	"R2"	"Private (Non-profit)"	"New York"	"NY"	NULL
"NYU"	"NEW YORK UNIVERSITY"	"New York University"	"R1"	"Private (Non-profit)"	"New York"	"NY"	NULL
"NCATSU"	"NORTH CAROLINA A T STATE UNIVERSITY"	"North Carolina A & T State University"	"R2"	"Public"	"Greensboro"	"NC"	NULL
